,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP
QCD,38039.8269873931,1882.665323764061,1326.8565592734058,1319.0136048502675,1319.0136048502675,1318.4146458848963,632.2503985011942,0.0
Top,5667.491119528111,559.2182232101463,349.75596150245974,314.03393436003637,312.9920396781639,312.9549470873375,294.0013471903534,0.07418515344624303
DY,14495.72427341028,671.4366188760675,623.2546663595167,623.2546663595167,623.2546663595167,623.2546663595167,455.6547380034702,0.0
Diboson,4424.202427727811,307.91483613745237,227.24134258661695,213.35956993826676,211.2734308578405,210.3333282449762,189.3502788194949,0.5821478691200881
Triboson,52.9969216443768,4.324317874842515,2.8541286778355026,2.510261076809429,2.506022499763932,2.5017839227184364,2.0868917711456794,0.0
W+jets,227212.60103568572,17009.81457254897,13645.628528257403,12937.207075458504,12911.488177245628,12907.145737024268,11204.390251842928,9.313783157072713
Z+jets,142220.15349869026,8524.545695130366,6957.674053084992,6625.483327444258,6613.106469850912,6612.301368081079,6256.761468124413,2.6840658349773423
Total,432112.9962640797,28959.919587541903,23133.265239742228,22034.862439487657,21993.634411342093,21986.906476604792,19034.495374252998,12.654182014616387
