,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,2177,190,165,155,155,155,147,16,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,10655,869,735,692,692,692,666,56,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,5842,440,371,354,354,354,342,55,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,12365,995,839,792,792,792,776,106,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6241,557,479,459,459,459,436,101,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,8195,714,629,596,596,596,576,91,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,5296,501,422,410,410,410,394,98,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,14389,1272,1106,1058,1058,1058,1027,197,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,10574,1084,888,849,849,849,821,223,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,16226,1522,1303,1259,1259,1259,1222,289,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,6993,754,643,617,617,617,590,167,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,15529,1539,1314,1274,1274,1274,1244,304,50.0,0.1,100.0
