,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,3168,344,286,271,270,270,254,79,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5002,479,397,371,371,371,361,89,5.0,0.1,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,7999,888,759,718,718,718,698,224,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,7044,789,643,606,606,606,585,217,10.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,6515,796,694,668,668,668,660,228,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,8280,1012,881,828,828,828,810,372,20.0,0.2,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,7762,1025,885,853,852,852,834,416,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,10374,1421,1223,1187,1186,1186,1175,470,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,9065,1398,1184,1134,1134,1134,1111,529,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,10341,1407,1208,1160,1160,1160,1149,480,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,3609,609,529,502,502,502,494,249,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,13492,1898,1623,1560,1560,1560,1542,639,50.0,0.1,10.0
