,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP
QCD,1.7651668257743633e-06,8.736155331740678e-08,6.157029004802629e-08,6.120635245786921e-08,6.120635245786921e-08,6.117855889045831e-08,2.9338393925576884e-08,0.0
Top,0.00012946820485290213,1.2774784812733056e-05,7.989827512265165e-06,7.173793286485686e-06,7.149992237438953e-06,7.149144894047255e-06,6.716168731860167e-06,1.694686139044515e-09
DY,1.1260544239392072e-05,5.215842691400093e-07,4.841556455252427e-07,4.841556455252427e-07,4.841556455252427e-07,4.841556455252427e-07,3.5396095002913394e-07,0.0
Diboson,0.0006373026064192725,4.4354870924462705e-05,3.273392261823867e-05,3.073426504491715e-05,3.0433758480168587e-05,3.0298337496326378e-05,2.7275747027663858e-05,8.385790667860528e-08
Triboson,0.001932566315603267,0.00015768899029569325,0.0001040776100203441,9.153826014584426e-05,9.138369774919824e-05,9.122913535255226e-05,7.609983025596557e-05,0.0
W+jets,0.002309963596556851,0.00017293078054504203,0.0001387286840990901,0.00013152649654643602,0.00013126502461070495,0.0001312208770643724,0.00011390976330273452,9.468885062269617e-08
Z+jets,0.006645338662101281,0.00039831551078462694,0.0003251023096645049,0.0003095804597860896,0.0003090021422392649,0.0003089645232817095,0.00029235166648906505,1.2541490095469732e-07
Total,1.878092097231049e-05,6.29342285282364e-07,3.3514692534540934e-07,2.394252277122214e-07,1.9118180353032846e-07,1.5926943358674065e-07,1.1818514286189259e-07,6.874856647464215e-11
