,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP
QCD,1.7651668257743638e-06,8.736155331740678e-08,6.157029004802629e-08,6.120635245786921e-08,6.120635245786921e-08,6.117855889045831e-08,2.9338393925576884e-08,0.0
Top,0.00012946820485290213,1.2774784812733056e-05,7.989827512265165e-06,7.173793286485686e-06,7.149992237438955e-06,7.149144894047255e-06,6.716168731860167e-06,6.6143831440606904e-09
DY,1.126054423939207e-05,5.215842691400093e-07,4.841556455252427e-07,4.841556455252427e-07,4.841556455252427e-07,4.841556455252427e-07,3.5396095002913394e-07,0.0
Diboson,0.0006373026064192725,4.4354870924462705e-05,3.273392261823867e-05,3.073426504491715e-05,3.0433758480168587e-05,3.0298337496326378e-05,2.727574702766386e-05,8.385790667860528e-08
Triboson,0.001932566315603267,0.00015768899029569325,0.0001040776100203441,9.153826014584426e-05,9.138369774919825e-05,9.122913535255226e-05,7.609983025596557e-05,0.0
W+jets,0.0023099635965568507,0.000172930780545042,0.00013872868409909008,0.00013152649654643602,0.00013126502461070498,0.0001312208770643724,0.00011390976330273449,1.0658894692327763e-07
Z+jets,0.0066453386621012816,0.000398315510784627,0.00032510230966450494,0.00030958045978608963,0.00030900214223926497,0.0003089645232817095,0.0002923516664890651,1.2442895082370983e-07
Total,1.878092097231049e-05,6.29342285282364e-07,3.3514692534540934e-07,2.394252277122214e-07,1.9118180353032852e-07,1.5926943358674068e-07,1.1818514286189259e-07,7.616322571587918e-11
