,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,5.279668457718572,14.018958800901501,1.4100962956693555
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,108.372458918862,14.018958800901501,28.944166494140187
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,100.56989552030684,14.018958800901501,26.860254249812975
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,3.6496784040173895,14.018958800901501,0.9747577975972389
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,106.50862601136372,14.018958800901501,28.446373138429053
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,4.223046279275576,14.018958800901501,1.1278931551357205
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,833.8735198131908,14.018958800901501,222.71132567544726
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,1234.848863070979,14.018958800901501,329.8040059659971
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,2.7603436712275182,14.018958800901501,0.737233865486739
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,72.8270209623099,14.018958800901501,19.450674470563822
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,1.3083503874755045,14.018958800901501,0.3494348271281385
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,29.655057824231434,14.018958800901501,7.920286571153152
