,name,pt_cut,met_cut,eff
60,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,110,0.0024607765254952584
61,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,110,0.0024860960454457103
62,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,110,0.002525019343622336
63,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,110,0.0025805905744986884
64,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,110,0.0026570258733339142
65,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,110,0.0027622481146698714
66,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,110,0.002899165347479408
67,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,110,0.0030698358624961287
68,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,110,0.0032771574275347348
69,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,110,0.0035251181336877716
70,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,115,0.0027469672511621786
71,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,115,0.0027641256230611037
72,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,115,0.0027914966716770452
73,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,115,0.0028327802326952134
74,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,115,0.002890942563934307
75,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,115,0.002973233400696629
76,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,115,0.003084954912197437
77,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,115,0.003230405735701483
78,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,115,0.0034119413645183915
79,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,115,0.0036375145638193446
80,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,120,0.003067366010644882
81,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,120,0.0030790137837313145
82,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,120,0.003097559451267148
83,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,120,0.0031264538207394672
84,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,120,0.0031691604322527014
85,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,120,0.0032310638471254533
86,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,120,0.003317825046441183
87,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,120,0.003436411225321107
88,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,120,0.003591485507246377
89,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,120,0.0037896165462400124
90,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,125,0.003418722354909078
