,name,pt_cut,met_cut,eff,m1,m2,delta,ctau,mchi,dmchi
39,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,95,0.0047554004148328026,90.0,108.0,0.2,100.0,99.0,18.0
40,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,100,0.0028396289350132793,90.0,108.0,0.2,100.0,99.0,18.0
41,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,100,0.002907261452496688,90.0,108.0,0.2,100.0,99.0,18.0
42,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,100,0.0030041386804161054,90.0,108.0,0.2,100.0,99.0,18.0
43,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,100,0.003133759872871585,90.0,108.0,0.2,100.0,99.0,18.0
44,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,100,0.0033015664879293793,90.0,108.0,0.2,100.0,99.0,18.0
45,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,100,0.0035117431695350053,90.0,108.0,0.2,100.0,99.0,18.0
46,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,100,0.0037663274300825385,90.0,108.0,0.2,100.0,99.0,18.0
47,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,100,0.00406565601954975,90.0,108.0,0.2,100.0,99.0,18.0
48,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,100,0.004411367876012405,90.0,108.0,0.2,100.0,99.0,18.0
49,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,100,0.004811711911546402,90.0,108.0,0.2,100.0,99.0,18.0
50,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,105,0.003145723990607448,90.0,108.0,0.2,100.0,99.0,18.0
51,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,105,0.0031957118533145596,90.0,108.0,0.2,100.0,99.0,18.0
52,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,105,0.003270437334013708,90.0,108.0,0.2,100.0,99.0,18.0
53,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,105,0.0033740230139477564,90.0,108.0,0.2,100.0,99.0,18.0
54,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,105,0.0035128149232350283,90.0,108.0,0.2,100.0,99.0,18.0
55,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,105,0.0036930209107487208,90.0,108.0,0.2,100.0,99.0,18.0
56,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,105,0.0039189527224214125,90.0,108.0,0.2,100.0,99.0,18.0
57,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,105,0.004192513686996146,90.0,108.0,0.2,100.0,99.0,18.0
58,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,105,0.00451628143480019,90.0,108.0,0.2,100.0,99.0,18.0
59,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,105,0.004894728620276674,90.0,108.0,0.2,100.0,99.0,18.0
60,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,110,0.003500322724790229,90.0,108.0,0.2,100.0,99.0,18.0
61,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,110,0.0035363383849467355,90.0,108.0,0.2,100.0,99.0,18.0
62,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,110,0.0035917046905498047,90.0,108.0,0.2,100.0,99.0,18.0
63,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,110,0.003670751788189812,90.0,108.0,0.2,100.0,99.0,18.0
64,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,110,0.0037794769043135628,90.0,108.0,0.2,100.0,99.0,18.0
65,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,110,0.003929149903338733,90.0,108.0,0.2,100.0,99.0,18.0
66,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,110,0.004123907329075375,90.0,108.0,0.2,100.0,99.0,18.0
