,name,pt_cut,met_cut,eff,m1,m2,delta,ctau,mchi,dmchi
0,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,80,0.0033924506443627025,90.0,108.0,0.2,100.0,99.0,18.0
1,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,80,0.003621483134207557,90.0,108.0,0.2,100.0,99.0,18.0
2,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,80,0.003914081755143219,90.0,108.0,0.2,100.0,99.0,18.0
3,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,80,0.004267425320056899,90.0,108.0,0.2,100.0,99.0,18.0
4,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,80,0.004675831873460141,90.0,108.0,0.2,100.0,99.0,18.0
5,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,80,0.005144171058373334,90.0,108.0,0.2,100.0,99.0,18.0
6,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,80,0.005672389436215693,90.0,108.0,0.2,100.0,99.0,18.0
7,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,80,0.006262706756163096,90.0,108.0,0.2,100.0,99.0,18.0
8,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,80,0.0069093518584616076,90.0,108.0,0.2,100.0,99.0,18.0
9,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,80,0.007630768720072366,90.0,108.0,0.2,100.0,99.0,18.0
10,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,85,0.003598614562745827,90.0,108.0,0.2,100.0,99.0,18.0
11,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,85,0.0038008196873779306,90.0,108.0,0.2,100.0,99.0,18.0
12,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,85,0.004065480993489482,90.0,108.0,0.2,100.0,99.0,18.0
13,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,85,0.004391694229184826,90.0,108.0,0.2,100.0,99.0,18.0
14,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,85,0.004775717850900998,90.0,108.0,0.2,100.0,99.0,18.0
15,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,85,0.005222725530011502,90.0,108.0,0.2,100.0,99.0,18.0
