,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01
QCD,38039.826987393106,1882.665323764061,1326.8565592734058,1319.0136048502673,1319.0136048502673,1318.4146458848963,632.2503985011942,0.0,0.0,0.0,0.0,0.0
Top,5667.491119528111,559.2182232101463,349.75596150245974,314.03393436003637,312.992039678164,312.9549470873375,294.0013471903534,88.48338657266916,32.84705657597751,27.618145843764637,2.183686895195388,1.0501526454126364
DY,14495.724273410278,671.4366188760675,623.2546663595167,623.2546663595167,623.2546663595167,623.2546663595167,455.6547380034702,143.50895209777096,143.50895209777096,143.50895209777096,143.50895209777096,0.0
Diboson,4424.202427727811,307.91483613745237,227.24134258661695,213.35956993826676,211.2734308578405,210.3333282449762,189.3502788194949,49.47353281052835,20.78665976247059,15.547328940389798,2.8098988005224586,1.089564696448212
Triboson,52.9969216443768,4.324317874842515,2.854128677835502,2.510261076809429,2.5060224997639327,2.5017839227184364,2.086891771145679,0.9206742550184278,0.45762965307931003,0.2946365136218052,0.22406398414198755,0.045444745772697005
W+jets,227212.60103568572,17009.81457254897,13645.628528257403,12937.207075458504,12911.488177245632,12907.14573702427,11204.390251842928,2620.462072154043,1064.2065559111945,874.286747454285,249.48786008562035,88.23259273724261
Z+jets,142220.15349869026,8524.545695130366,6957.674053084992,6625.483327444258,6613.106469850912,6612.301368081079,6256.761468124413,1384.4529182229442,409.6049703339376,400.98455912465573,113.21012838342074,46.45565871582591
Total,432112.9962640797,28959.919587541903,23133.265239742228,22034.862439487657,21993.634411342096,21986.906476604796,19034.495374252998,4287.301536112975,1671.4118243344305,1462.240369974488,511.42459024667187,136.87341354070207
