,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,211.62113647383234,22.976275785751053,19.10167299555544,18.099530477658128,18.033157433278582,18.033157433278582,16.965408178127703,7.215959482119455,6.614971309043305,6.1476420574727735,5.279405586381408,4.41132351392901,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,6090.241351750135,583.268175071835,483.38398381009836,451.72932611280794,451.72932611280794,451.72932611280794,439.55093590266637,181.4036152184965,157.0518732558398,154.62554100505028,127.84679591001797,98.62408396250319,5.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,118.47951794817327,13.269841814060843,10.814831211421861,10.19279049378693,10.19279049378693,10.19279049378693,9.839572831386517,4.457316227099374,4.036880910154862,3.9862241335231787,3.532064222900923,2.758048239593954,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3591.8943767574788,398.7240181038894,340.802749889091,322.4067768402069,322.4067768402069,322.4067768402069,313.43312241580736,141.44969271894783,126.63459586490946,124.83523675424297,107.77172558771905,92.05829196061765,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,93.99863616319665,11.48925373962898,10.00155388917358,9.400078867913226,9.400078867913226,9.400078867913226,9.195836537926933,4.69974500478982,4.450106869688327,4.382068864830865,3.9166236000548396,3.4395869275493194,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3043.716823127073,371.80309684077747,324.15743489385693,312.0031117899879,312.0031117899879,312.0031117899879,308.2645498442762,136.37320969848827,123.78248210588113,122.8503890178899,108.83966247946923,88.29936521088736,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,15555.452100966933,2054.322570281654,1773.8382301095273,1709.6957769759263,1707.69042542541,1707.69042542541,1671.5850906866592,922.0177780305388,871.8975629401982,863.8878909877803,771.6199003025282,665.4163147362752,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,27263.502227424033,3734.6737874719056,3214.536713320757,3119.890210523919,3117.2597839336518,3117.2597839336518,3088.3265199334787,1439.947141241335,1316.3869447952998,1300.6062422942969,1206.0001658429055,1027.2200099551148,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,47.30464044851869,7.295161187864845,6.178193912016902,5.917338233925936,5.917338233925936,5.917338233925936,5.797324460945901,3.208855671305991,2.9218332399366984,2.895782852497602,2.3218100418629586,1.9148110475203606,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,1569.1334246904726,213.4839941336165,183.28939490532812,176.00991318357336,176.00991318357336,176.00991318357336,174.34102630372837,86.47656213698036,80.71626294409182,80.26001508142195,70.09514031133584,59.021742511743916,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,18.964344684698002,3.200084996291692,2.779585889917215,2.637743880868244,2.637743880868244,2.637743880868244,2.5958387707739274,1.5184391859186934,1.3607063076611907,1.3448704157666347,1.045418149430056,0.8613693961756579,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,625.9503690668715,88.05768427796862,75.29919385115824,72.37877121969308,72.37877121969308,72.37877121969308,71.54277022129996,35.50505733775305,31.329304431814712,31.004943861734805,26.036614385956295,21.907838853530173,50.0,0.1,10.0
