,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,14.287466646478146,1.2467448191612902,1.0826201685136143,1.0170515173513257,1.0170515173513257,1.0170515173513257,0.9644782990287659,0.2690103128985406,0.190284365221988,0.1705914494077584,0.1114835037441353,0.09176344228909604,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,443.65770975584616,36.18641855413497,30.606685565726618,28.81770247691973,28.81770247691973,28.81770247691973,27.73450134276837,7.328940487722863,4.581357266109926,4.4981037788128955,2.665063736014436,1.915579423213407,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,7.5990383828599635,0.5723594174010097,0.4825764141031284,0.4604533566451365,0.4604533566451365,0.4604533566451365,0.44484366164177663,0.1613073206535759,0.11841576117101038,0.11061045374493891,0.07287101068536325,0.06507811254004434,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,238.68778001545107,19.20595098745653,16.193823894681746,15.286138538916994,15.286138538916994,15.286138538916994,14.977307372512989,4.843998504054569,3.106716358742766,3.0488077501794564,2.007136712442397,1.6982840907049352,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6.142378087894154,0.5482008691291519,0.4714164084473149,0.45172433706681653,0.45172433706681653,0.45172433706681653,0.42909186531952404,0.15742805939988364,0.12497289069763733,0.12300970958870071,0.09251696739424982,0.08169088269186363,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,200.84570710318246,17.499995846363596,15.419564867849443,14.610412467261657,14.610412467261657,14.610412467261657,14.120705091085611,4.290507793465644,3.2108506734382147,3.1374222330531722,2.1336009601101704,1.8142604902797486,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,1302.773429218097,123.24628608568146,103.80458209290563,100.85423130094526,100.85423130094526,100.85423130094526,96.92024356267356,33.96057175274252,28.797490925140146,28.302654421071463,22.887894706299157,20.917915864578585,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,24707.114125418568,2184.5977486441543,1899.4099309930966,1816.958888342399,1816.958888342399,1816.958888342399,1763.8306027150913,584.0025101561029,439.6111442265913,427.6075517447523,319.43711139688935,279.8746251550536,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,3.3521160259365645,0.3435990934028691,0.2814736708941239,0.26911245468591083,0.26911245468591083,0.26911245468591083,0.2602399387290486,0.09982288672576384,0.08271886938178818,0.08018076209083058,0.06116696670198629,0.054832902131905614,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,108.8250664067727,10.209122180274019,8.740353904629506,8.445450597355318,8.445450597355318,8.445450597355318,8.197401769855595,2.8776869363389124,2.3140561703190845,2.287196946472511,1.81771288068704,1.6365096856535928,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,1.3674891993564606,0.1474531940996997,0.12574878694369176,0.12066263338031533,0.12066263338031533,0.12066263338031533,0.11538526379764552,0.04439309493537508,0.034613850202296424,0.034222720828379884,0.023667994198836348,0.021905747084226553,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,43.75727543932692,4.3352747241577445,3.7015981622764897,3.588904418918596,3.588904418918596,3.588904418918596,3.504454000956064,1.2424352005397021,0.9804253382626906,0.9606816628618682,0.7889339137396912,0.70447344061903,50.0,0.1,100.0
