,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,3168,344,286,271,270,270,254,108,99,92,79,66,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5002,479,397,371,371,371,361,149,129,127,105,81,5.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,7044,789,643,606,606,606,585,265,240,237,210,164,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,7999,888,759,718,718,718,698,315,282,278,240,205,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,8280,1012,881,828,828,828,810,414,392,386,345,303,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,6515,796,694,668,668,668,660,292,265,263,233,189,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,7762,1025,885,853,852,852,834,460,435,431,385,332,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,10374,1421,1223,1187,1186,1186,1175,548,501,495,459,391,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,9065,1398,1184,1134,1134,1134,1111,615,560,555,445,367,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,10341,1407,1208,1160,1160,1160,1149,570,532,529,462,389,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,3609,609,529,502,502,502,494,289,259,256,199,164,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,13492,1898,1623,1560,1560,1560,1542,765,675,668,561,472,50.0,0.1,10.0
