,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Lxy > 0.5,BDT
QCD,38039.8269873931,1882.665323764061,1326.8565592734058,1319.0136048502675,1319.0136048502675,1318.4146458848963,632.2503985011942,7.842954423138338,0.0
Top,5667.491119528111,559.2182232101463,349.75596150245974,314.03393436003637,312.99203967816396,312.9549470873375,294.0013471903534,139.54490049740892,0.0
DY,14495.724273410278,671.4366188760675,623.2546663595167,623.2546663595167,623.2546663595167,623.2546663595167,455.6547380034702,48.181952516550936,0.0
Diboson,4424.202427727811,307.91483613745237,227.24134258661695,213.35956993826676,211.2734308578405,210.3333282449762,189.3502788194949,103.12342273023086,0.29107393456004405
Triboson,52.9969216443768,4.324317874842515,2.854128677835502,2.510261076809429,2.5060224997639327,2.5017839227184364,2.086891771145679,0.9282614427690327,0.0
W+jets,227212.60103568572,17009.81457254897,13645.628528257403,12937.207075458504,12911.488177245632,12907.14573702427,11204.390251842928,6454.206766630961,3.750336979240457
Z+jets,142220.15349869026,8524.545695130366,6957.674053084992,6625.483327444259,6613.106469850912,6612.301368081079,6256.761468124413,3694.440003958427,1.4983453932756472
Total,432112.9962640796,28959.919587541903,23133.265239742228,22034.86243948766,21993.634411342096,21986.906476604796,19034.495374252998,10448.268262199486,5.539756307076148
