,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Lxy <= 0.5,BDT
QCD,38039.826987393106,1882.665323764061,1326.8565592734058,1319.0136048502673,1319.0136048502673,1318.4146458848963,632.2503985011942,624.4074440780558,0.0
Top,5667.491119528111,559.2182232101463,349.75596150245974,314.03393436003637,312.9920396781639,312.9549470873375,294.0013471903534,154.45644648070484,0.5337385721138144
DY,14495.724273410278,671.4366188760675,623.2546663595167,623.2546663595167,623.2546663595167,623.2546663595167,455.6547380034702,407.4727854869193,0.0
Diboson,4424.202427727811,307.91483613745237,227.24134258661695,213.35956993826676,211.27343085784054,210.33332824497623,189.35027881949492,86.22685608926403,0.29107393456004405
Triboson,52.9969216443768,4.324317874842515,2.8541286778355026,2.510261076809429,2.5060224997639327,2.5017839227184364,2.0868917711456794,1.158630402085997,0.0
W+jets,227212.60103568572,17009.81457254897,13645.628528257403,12937.207075458504,12911.488177245632,12907.14573702427,11204.390251842928,4750.183485211968,16.558166356688947
Z+jets,142220.15349869026,8524.545695130366,6957.674053084992,6625.483327444259,6613.106469850912,6612.301368081079,6256.761468124413,2562.3214641659865,6.387846761395939
Total,432112.9962640797,28959.919587541903,23133.265239742228,22034.86243948766,21993.634411342096,21986.906476604796,19034.495374252998,8586.227111914985,23.770825624758743
