,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.010929611532130115,0.0011866573111632384,0.0009865454317745652,0.0009347877075559225,0.0009313597343233765,0.0009313597343233765,0.0008762136143895416,0.0003726831605070257,0.0003416438825947311,0.0003175076962837829,0.0002726658269640349,0.00022783193188151635,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.010675780282311816,0.0010224295759547364,0.0008473393589996599,0.000791850889664869,0.000791850889664869,0.000791850889664869,0.0007705029970992702,0.0003179882416208648,0.000275301288564371,0.00027104809258981865,0.00022410676754882556,0.0001728813342718168,5.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.012593406008752844,0.001410475907823105,0.0011495283127430022,0.0010834104600810817,0.0010834104600810817,0.0010834104600810817,0.0010458663046936773,0.00047377634488535885,0.00042908750129116904,0.00042370309927582204,0.00037542960655392535,0.0002931580232131441,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.012434052608005182,0.0013802620280985267,0.0011797561054395964,0.0011160748073075063,0.0011160748073075063,0.0011160748073075063,0.001085010728162794,0.0004896560800992386,0.0004383706929598486,0.0004321418556122099,0.00037307313775270147,0.00031867798024582793,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.015837739586141777,0.0019358132861782282,0.0016851521726175204,0.0015838102261476598,0.0015838102261476598,0.0015838102261476598,0.001549397632871586,0.0007918555049873664,0.0007497942162720359,0.000738330558426806,0.0006599081344851734,0.0005795326854300932,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.016286106070609714,0.001989417880967331,0.0017344788214674566,0.0016694443235857827,0.0016694443235857827,0.0016694443235857827,0.0016494402890656291,0.0007296961864071402,0.0006623266060567965,0.0006573392278672869,0.0005823716169524857,0.000472466037860441,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.019309047791447587,0.0025500392036919444,0.0022018728184282476,0.0021222525229216706,0.002119763271649754,0.002119763271649754,0.0020749455685401532,0.0011445045264514896,0.0010822900937101317,0.001072347654395659,0.0009578150114227408,0.0008259840562045122,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.02012816097691991,0.002757243532523967,0.0023732355400347483,0.002303359702796164,0.00230141770541794,0.00230141770541794,0.00228005678888839,0.0010630874792016659,0.0009718651738771519,0.0009602145606280014,0.0008903685694444865,0.0007583783457685063,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.024701578032977844,0.003809393574004804,0.003226134636550928,0.0030899207931179185,0.0030899207931179185,0.0030899207931179185,0.003027251897419943,0.0016756030277323571,0.0015257254064575585,0.001512122392630269,0.0012124047743105799,0.0009998776876912795,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.0258748541724068,0.0035203298390255847,0.0030224238996499424,0.002902385969772653,0.002902385969772653,0.002902385969772653,0.002874866191042078,0.0014259899122771062,0.0013310031512661204,0.0013234796693701281,0.001155861894987024,0.0009732626661712776,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.031124630149919286,0.00525203815970775,0.004561907317757933,0.004329113612266336,0.004329113612266336,0.004329113612266336,0.004260338177377217,0.002492090227878943,0.002233216136531705,0.0022072259804516024,0.0017157594313964403,0.0014136952435830283,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.03244537753715607,0.004564363171005908,0.0039030423073100344,0.0037516657453196714,0.0037516657453196714,0.0037516657453196714,0.003708332648392611,0.0018403615473844433,0.0016239164644667402,0.0016071036280591216,0.0013495763007553283,0.0011355662329676265,50.0,0.1,10.0
